productId,title,price,shopify_variant_id,shopify_sku,cj_pid,cj_vid,cj_variant_sku,confidence,note
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,87586.21,42659397894229,CJCD160452701AZ,1588374756410273792,1588374756481576960,CJCD160452701AZ,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,145586.21,42659397926997,CJCD160452702BY,1588374756410273792,1588374756485771264,CJCD160452702BY,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,117068.97,42659397959765,CJCD160452703CX,1588374756410273792,1588374756485771265,CJCD160452703CX,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,108517.24,42659397992533,CJCD160452704DW,1588374756410273792,1588374756489965568,CJCD160452704DW,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,251724.14,42659398025301,CJCD160452797SH,1588374756410273792,1624258160498323456,CJCD160452797SH,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,87586.21,42659398058069,CJCD1604527130ZA,1588374756410273792,1625045395862728704,CJCD1604527130ZA,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,108517.24,42659398090837,CJCD1604527132BY,1588374756410273792,1625045395862728705,CJCD1604527132BY,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,158275.86,42659398123605,CJCD1604527142LO,1588374756410273792,1647879590917976064,CJCD1604527142LO,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,119482.76,42659398156373,CJCD1604527146PK,1588374756410273792,1647879590980890624,CJCD1604527146PK,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,119482.76,42659398189141,CJCD1604527147QJ,1588374756410273792,1647879591039610880,CJCD1604527147QJ,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,119482.76,42659398221909,CJCD1604527150TG,1588374756410273792,1647879591098331136,CJCD1604527150TG,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1enl0006b3ib2aeitv5v,1500mAh Mini Power Emergency Pod Keychain Charger With Type-C Ultra-Compact Mini Battery Pack Fast Charging Backup Power Bank,119482.76,42659398254677,CJCD1604527151UF,1588374756410273792,1647879591219965952,CJCD1604527151UF,high,"Auto-match por SKU ""CJCD160452701AZ"""
cmrhc1f1w000ab3ib2jamd4dp,15W 3 In 1 LED Fast Wireless Charger Stand Foldable Charging Station For Smart Phone 15 14 13 12 11 IWatch 9 8 7 6 5 Airpods Pro,124758.62,42659190800469,CJSJ212415201AZ,2408300716221612100,2408300716221612300,CJSJ212415201AZ,high,"Auto-match por SKU ""CJSJ212415201AZ"""
